ARULHT14XXXXXXXXXX,Sir Neville Marriner
ARULHT239XXXXXXXXX,Royal Philharmonic Orchestra
ARH861H1187B9B799E,Johnny Cash
ARIJE1A1187B9A458D,Ella Fitzgerald
ARMM6WZ1187FB4958D,Willie Nelson
ARXPPEY1187FB51DF4,Michael Jackson
ARTH9041187FB43E1F,Eminem
ARLHO5Z1187FB4C861,Beastie Boys
AR039B11187B9B30D0,John Williams
AR60ODO1187FB4D9AB,Joan Baez
ARTASUV1187B9A2B67,Frank Sinatra
AR20CFC1187B98A25D,Ray Charles
AR40GSU1187FB3AA01,Neil Diamond
AR12F2S1187FB56EEF,Aerosmith
AR4YPIT1187B991E27,Duran Duran
ARYVO9V1187B9B1FC6,Franz Ferdinand
AR6Q4T91187B995616,Sonny Rollins
ARFCUN31187B9AD578,The Rolling Stones
ARH6W4X1187B99274F,Radiohead
ARUGU0E1187B9B30F6,The Doors
ARFMT4W1187FB42FA8,Alison Krauss
ARNDL191187FB51583,Jimi Hendrix
ARSF0K11187B9AF319,James Taylor
ARULZ741187B9AD2EF,Elvis Presley
ARWA6NT1187FB3F15C,The Cure
ARKBTPV1187FB38A79,Faron Young
AR5FP401187FB523C9,Bob Dylan
ARJ08091187FB5B079,Kenny Rogers
ARYGKAY1187FB4A56B,Coleman Hawkins
ARRDIHY1187FB3C1B3,Pete Seeger
AR5KAA01187FB5AEB7,Herbie Hancock
ARE2G8K1187FB53219,Venom
ARMZ4K51187B9A09C6,Brad Mehldau
AR2KSTE1187FB57A36,Petra
ARMEW4Q1187FB57238,Gilberto Santa Rosa
ARNZ70R1187B9A4824,Joe Satriani
ARVNNXD1187B9AE50D,Marvin Gaye
AR7BGWD1187FB59CCB,Aretha Franklin
ARUJ5A41187FB3F5F1,U2
ARIPLUN1187B99B9F9,The Police
ARKSZW81187B9B695D,Mariah Carey
ARVHQNN1187B9B9FA3,Cat Stevens
ARFAN5B1187FB3A6BB,Carly Simon
AR6CLFP1187B9ACB94,Daniel Johnston
AR56P361187B9AC4DB,Gary Moore
ARDCFNZ1187FB3DDB0,Enrique Iglesias
AR4GAFY1187B9B639D,B.B. King
ARLVAAI1187FB3965C,Gary Numan
ARM0RY81187B9AF248,Jerry Goldsmith
ARJA1841187FB3A029,David Bowie
ARR6LWJ1187FB44C8B,R.E.M.
ARCJGLG11F50C4971F,Pretenders
ARJGQDS1187B99DDEA,Billie Holiday
ARQCFI11187FB5AE43,George Jones
ARSC6WR1187FB40B18,Peggy Lee
ARUM60L1187B9A7E1F,Stevie Wonder
AR03BDP1187FB5B324,Britney Spears
AR91C8S1187B990901,Bruce Springsteen
ARCJT7I1187B99F56F,June Christy
ARLIBVA1187B99074B,ZZ Top
ARO5T1P1187B9AC680,Lou Reed
ARULHT212XXXXXXXXX,Riccardo Muti
AR4U19I1187B9B3B54,Gregory Isaacs
ARE8GLF1187FB52532,Red Hot Chili Peppers
ARXRNDO1187FB42BE5,The Hollies
AR9F8TH1187B9B5A83,Love
ARYJSY01187B9B7C65,Dolly Parton
ARULHT16XXXXXXXXXX,Kanye West
AR00AP71187B99635F,Miles Davis
AR1ABAO1187FB531E1,Alice Cooper
AR2UWUD1187B9B3B01,Nina Simone
